Channel,Date,Text news,link
https://t.me/rbc_news,2025-11-24 09:32:16+00:00,"**Россия не получала официальную** **информацию об итогах переговоров Украины и США в Женеве,** заявил пресс-секретарь президента России Дмитрий Песков.

«Мы пока не видели никакого плана, мы читали заявления по итогам дискуссии, состоявшейся в Женеве, в тот текст, который ранее видели мы, были внесены какие-то корректировки»

Он также отметил, что Кремль не хочет вести обсуждение плана США по Украине через СМИ, «считает это невозможным и некорректным». 

🐚 РБК в [**Telegram**](https://t.me/+TWkNpYxFVos5YmRi) и [**MAX**](https://max.ru/rbc)",https://t.me/rbc_news/136479
https://t.me/rbc_news,2025-11-24 09:14:01+00:00,"**Дональд Трамп не углублялся в детали мирного плана по урегулированию российско-украинского конфликта,** [пишет](https://www.rbc.ru/politics/24/11/2025/69240f479a794791faef25a6?utm_source=telegram&utm_medium=messenger&utm_campaign=rbc_news&utm_content=69240f479a794791faef25a6) Washington Post со ссылкой на источник среди американских должностных лиц.

«Вы говорите ему: «Я хочу попытаться заключить сделку». Он ответит: «Прекрасно, иди и займись этим». И это тот уровень внимания, который он уделяет», — сказал источник. В администрации царит «абсолютный хаос», добавил он, и отметил, что **даже в разных частях Белого дома не знают, что происходит.**

По его мнению, действия спецпосланника Стива Уиткоффа, ставшего соавтором мирной инициативы, **застали Вашингтон врасплох.**

Составленный план в администрации «не считали незыблемым», а Киеву сообщили о наличии «простора для переговоров», рассказал собеседник WP. Вместе с тем, Вашингтон дал понять, что желает скорейшего заключения сделки, а угроза приостановки помощи чрезвычайно серьезна.

__Фото: Kevin Dietsch / Getty Images__

🐚 РБК в[** Telegram**](https://t.me/+TWkNpYxFVos5YmRi) и [**MAX**](https://max.ru/rbc)",https://t.me/rbc_news/136478
https://t.me/rbc_news,2025-11-24 09:00:01+00:00,"**«Дом РФ» **[**рассказал,**](https://realty.rbc.ru/news/6924117c9a7947c5746092b1)** что будет с ценами на жилье при ипотеке под 10%**

В 2027 году ставка по рыночной ипотеке может опуститься до **10% **и ниже, что приведёт к кратному росту спроса и скачку цен на жильё **на 10-15% **— вдвое выше ожидаемой инфляции, прогнозирует глава аналитического центра «Дом РФ» Михаил Гольдберг.

«Если инфляция ожидается на уровне 4-5%, то цены на жилье могут вырасти на уровне 10-15%. И это приведет к тому, что доступность жилья и показатели нацпроектов (мы все время это обсуждаем с Минстроем) могут оказаться под угрозой, именно доступность», — указал Гольдберг в ходе пресс-конференции в ТАСС, отметив, что в такой ситуации важны меры поддержки наращивания предложения, особенно в небольших регионах.

#ипотека

__Фото: R Photography Background / Shutterstock / FOTODOM__

🐚[**Читать РБК Недвижимость в Telegram**](https://t.me/realty_rbc)",https://t.me/rbc_news/136477
https://t.me/rbc_news,2025-11-24 08:51:28+00:00,"**Проект национальной модели целевых условий ведения бизнеса, по замыслу, должен обеспечить России более высокие позиции в рейтинге Всемирного Банка Business Ready. **В проекте предусмотрены способы упростить для бизнеса администрирование ряда налогов, узнал РБК. Речь об НДС, НДФЛ и налогах обособленных подразделений компаний. Так, частоту сдачи отчетности по НДФЛ хотят сократить, а по НДС запустить предзаполненные декларации. 

Разработчики предполагают, что бизнесу предложенные меры пойдут на пользу и позволят экономить существенное количество времени.

**Так ли это и какие могут в процессе внедрения инициатив возникнуть сложности на стороне бизнеса или даже самих налоговых органов — **[**в подписке РБК.**](https://pro.rbc.ru/demo/691f8e879a79478fc107a2ae?utm_source=telegram&utm_medium=messenger&utm_campaign=rbc_news&utm_content=691f8e879a79478fc107a2ae)**

**🐚 РБК в [**Telegram**](https://t.me/+TWkNpYxFVos5YmRi) и [**MAX**](https://max.ru/rbc)",https://t.me/rbc_news/136476
https://t.me/rbc_news,2025-11-24 08:36:08+00:00,"**Новый «лучший друг» Трампа президент Финляндии Александр Стубб и премьер Италии Джорджа Мелони вылетели в Вашингтон**, пишет газета Le Temps со ссылкой на источник из окружения финского лидера. 

Как пишет издание, в августе Стубб и Мелони уже приезжали в США, сопровождая Зеленского на его встрече с Трампом. После этого «общение между главами государств стало более теплым», отмечает Le Temps.

Финский лидер ранее сообщал, что поговорил с Зеленским, а в воскресенье вместе с Мелони и Трампом провел телефонный разговор для обсуждения «мирного соглашения по Украине».

__Фото: Kent Nishimura / Reuters

__🐚 РБК в [**Telegram**](https://t.me/+TWkNpYxFVos5YmRi) и [**MAX**](https://max.ru/rbc)",https://t.me/rbc_news/136475
https://t.me/rbc_news,2025-11-24 08:36:01+00:00,"Платформа [ФинКод](https://t.me/finkod_vtb) о финансовой и инвестиционной грамотности заняла первое место и забрала приз зрительских симпатий в номинации «Онлайн-курс» премии Digital Learning* 2025. Премия отмечает лучшие цифровые образовательные решения и показывает, кто реально умеет создавать яркие и полезные проекты.

Курсы ФинКода разработаны командой ВТБ Мои Инвестиции и доступны прямо в Телеграм. А значит, вы можете получать знания от экспертов рынка где и когда угодно. 

Отпразднуйте победу вместе с ВТБ Мои Инвестиции — получите 2025 подарочных финкоинов. Для этого зайдите на [платформу](https://t.me/finkod_vtb_bot) ➡️ перейдите во вкладку «Профиль» ➡️ введите промокод FINKOD_2025 в разделе «Мои промокоды».

Покорите мир финансов при поддержке профессионалов.

__Реклама, ВТБ (ПАО), 18+
erid: F7NfYUJCUneTTx4QviTr__

*Цифровое обучение",https://t.me/rbc_news/136474
https://t.me/rbc_news,2025-11-24 08:20:45+00:00,"**Делегация США рассчитывает провести отдельную встречу с представителями России по поводу плана урегулирования на Украине,** [сообщил](https://www.rbc.ru/politics/24/11/2025/6923f9909a7947231f6cbfee?utm_source=telegram&utm_medium=messenger&utm_campaign=rbc_news&utm_content=6923f9909a7947231f6cbfee) ABC News со ссылкой на американского чиновника. Подробности о возможной встрече он не озвучил.

Накануне американские официальные лица, включая министра армии Дэна Дрисколла, госсекретаря Марко Рубио и спецпосланника Стивена Уиткоффа, встретились в Женеве с представителями Украины. Стороны обсудили план США из 28 пунктов по прекращению конфликта.

__Фото: Win McNamee / Getty Images__

🐚 РБК в[** Telegram**](https://t.me/+TWkNpYxFVos5YmRi) и [**MAX**](https://max.ru/rbc)",https://t.me/rbc_news/136473
https://t.me/rbc_news,2025-11-24 08:08:20+00:00,"**Правящий в Республике Сербской (энтитет в составе Боснии и Герцеговины, БиГ, с сербским большинством) «Союз независимых социал-демократов» (СНСД) сообщил о **[**победе**](https://www.rbc.ru/politics/24/11/2025/6923dd9b9a7947316f8b9a25?from=short_news?utm_source=telegram&utm_medium=messenger&utm_campaign=rbc_news&utm_content=6911b3669a79476edca32bb5)** своего кандидата Синиши Карана на досрочных выборах президента, **передает Dnevni Avaz.

Каран — бывший министр внутренних дел, **союзник экс-президента Милорада Додика,** чей мандат был аннулирован в августе. При этом Додик остается главой СНСД.

По итогам подсчета 92% голосов Каран имеет неоспоримое преимущество в 12 тыс. голосов над основным конкурентом, кандидатом от оппозиционной Сербской демократической партии (СДС) Бранко Бланушем.

__Фото: Amel Emric / Reuters

__🐚 РБК в [**Telegram**](https://t.me/+TWkNpYxFVos5YmRi) и [**MAX**](https://max.ru/rbc)",https://t.me/rbc_news/136472
https://t.me/rbc_news,2025-11-24 07:50:01+00:00,"**Переговоры США и Украины в Женеве, состоявшиеся для обсуждения мирного плана, разительно отличались от «зловещей встречи в Киеве» тремя днями ранее**, [пишет](https://www.rbc.ru/politics/24/11/2025/692402b39a7947223c8e9b90?utm_source=telegram&utm_medium=messenger&utm_campaign=rbc_news&utm_content=692402b39a7947223c8e9b90) The Economist.

Журнал проводит параллели с февральской встречей Зеленского и Трампа в Белом доме, завершившейся скандалом и резким охлаждением отношений между странами. Как напоминает издание, вице-президент США Джей Ди Вэнс «снова стал силой, стремящейся подорвать отношения между Америкой и Украиной, **на этот раз он выдвинул явно пророссийский план».** Именно Вэнс позвонил Зеленскому для изложения условий, а его друг по колледжу мистер Дрисколл лично передал послание».

Марко Рубио тогда и сейчас приложил все усилия, чтобы **вернуть ситуацию в нужное русло, договорившись с Украиной,** отмечает The Economist. Как пишет издание, он позвонил встревоженным сенаторам из самолета и заверил их, что план был составлен в России, но через несколько часов изменил позицию и начал настаивать на американском происхождении документа.

__Фото: Mandel Ngan / Reuters__

🐚 РБК в[** Telegram**](https://t.me/+TWkNpYxFVos5YmRi) и [**MAX**](https://max.ru/rbc)",https://t.me/rbc_news/136471
https://t.me/rbc_news,2025-11-24 07:35:37+00:00,"Атаки украинских дронов на российские регионы в ночь на 24 ноября — в инфографике.

🐚 РБК в[** Telegram**](https://t.me/+TWkNpYxFVos5YmRi) и [**MAX**](https://max.ru/rbc)",https://t.me/rbc_news/136470
